"Subj","MMR","Group","TestSpeaker","VoiceTrain","TestOrder","age","sex","nrSpeakersDaily","sleepState","BlocksAsleep","Lab","daysVoicetraining","Anmerkungen","CommentsProtokoll","mumDist","TrialsStan","TrialsDev"
"10",5.49245,"unfam","S1","23_1",1413,-1.32180518666569,"f",-0.0059739070663096,"awake","0","Charité",20,"","Block 4 gestillt und schläft leicht",1.07164702902782,57,31
"10",-7.5244,"unfam","S4","23_1",1413,-1.32180518666569,"f",-0.0059739070663096,"awake","0","Charité",20,"","Block 4 gestillt und schläft leicht",-0.835247206594123,60,30
"11",4.7489,"fam","S1","23_1",2243,-0.971992359121515,"m",0.82933414185767,"awake","0","Charité",23,"","immer wieder unruhig",0.0910635036892924,25,11
"12",-3.71355,"fam","S1","23_1",2423,1.47669743368774,"m",-0.284409923374303,"awake","0","Charité",18,"Mutter bulgarisch Muttersprachesprecherin","Mutter Bulgarisch Muttersprache, spricht Deutsch mit dem Kind",0.152605784170415,63,34
"12",-2.2333,"fam","S4","23_1",2423,1.47669743368774,"m",-0.284409923374303,"awake","0","Charité",18,"Mutter bulgarisch Muttersprachesprecherin","Mutter Bulgarisch Muttersprache, spricht Deutsch mit dem Kind",-0.288841454737111,56,29
"14",-4.3321,"unfam","S1","23_2",1413,0.893676054447445,"m",-0.562845939682296,"awake","0","Charité",15,"","vor messung geschlafen daher müde, F6 und C4 wackelt, Block 2 Pause, TP10nKontakt zu Mutter, Block 4 Artefakt P8 und TP10 + Strom P7, TP9 und CP5 Kontakt Mutter, kurze Störungen",0.795486246493005,46,24
"14",-3.4995,"unfam","S4","23_2",1413,0.893676054447445,"m",-0.562845939682296,"awake","0","Charité",15,"","vor messung geschlafen daher müde, F6 und C4 wackelt, Block 2 Pause, TP10nKontakt zu Mutter, Block 4 Artefakt P8 und TP10 + Strom P7, TP9 und CP5 Kontakt Mutter, kurze Störungen",-1.35685036947197,61,30
"15",-1.8157,"fam","S1","23_2",2243,0.777071778599385,"m",-0.145191915220306,"awake","0","Charité",17,"","Kurze Wickelpause Blck 1 und 2, Block 3 gestillt",-0.307277895021606,53,28
"15",1.23165,"fam","S4","23_2",2243,0.777071778599385,"m",-0.145191915220306,"awake","0","Charité",17,"","Kurze Wickelpause Blck 1 und 2, Block 3 gestillt",-0.178138836525809,51,28
"16",-1.47115,"fam","S1","23_2",2423,-2.02143084175405,"m",0.133244101087687,"awake","0","Charité",19,"","0",-0.568094093640297,59,30
"16",6.53515,"fam","S4","23_2",2423,-2.02143084175405,"m",0.133244101087687,"awake","0","Charité",19,"","0",-1.00708838483728,65,33
"20",-2.50325,"unfam","S1","31_1",2423,-0.505575255729275,"f",0.0636350970106887,"awake","0","CBS",NA,"Blatt voicefam fehlt","",-0.878176025449154,34,15
"20",0.511850000000001,"unfam","S4","31_1",2423,-0.505575255729275,"f",0.0636350970106887,"awake","0","CBS",NA,"Blatt voicefam fehlt","",-1.09547008274759,47,25
"22",-3.90655,"fam","S1","31_2",1413,0.660467502751325,"f",0.0636350970106887,"awake","0","Charité",18,"","Block 2 mehr Artefakte, müde",3.27125211113592,50,20
